1.1515 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
28.7075 	EXP 	fixation: autoDraw = True
29.7131 	EXP 	fixation: autoDraw = False
29.7294 	EXP 	grating: autoDraw = True
29.7294 	EXP 	grating: tex = 'sin'
30.0287 	EXP 	grating: autoDraw = False
30.0980 	EXP 	window1: recordFrameIntervals = False
30.1002 	DATA 	Keypress: left
30.1122 	EXP 	fixation: autoDraw = False
30.1122 	EXP 	grating: autoDraw = False
30.1123 	EXP 	window1: recordFrameIntervals = False
31.0907 	EXP 	fixation: autoDraw = True
32.0955 	EXP 	fixation: autoDraw = False
32.0955 	EXP 	grating: autoDraw = True
32.0955 	EXP 	grating: tex = 'sin'
32.3954 	EXP 	grating: autoDraw = False
32.5983 	EXP 	window1: recordFrameIntervals = False
32.6007 	DATA 	Keypress: left
32.6127 	EXP 	fixation: autoDraw = False
32.6127 	EXP 	grating: autoDraw = False
32.6128 	EXP 	window1: recordFrameIntervals = False
33.5910 	EXP 	fixation: autoDraw = True
34.5964 	EXP 	fixation: autoDraw = False
34.6125 	EXP 	grating: autoDraw = True
34.6125 	EXP 	grating: tex = 'sin'
34.9127 	EXP 	grating: autoDraw = False
35.0479 	EXP 	window1: recordFrameIntervals = False
35.0501 	DATA 	Keypress: right
35.0620 	EXP 	fixation: autoDraw = False
35.0620 	EXP 	grating: autoDraw = False
35.0621 	EXP 	window1: recordFrameIntervals = False
36.0412 	EXP 	fixation: autoDraw = True
37.0465 	EXP 	fixation: autoDraw = False
37.0465 	EXP 	grating: autoDraw = True
37.0465 	EXP 	grating: tex = 'sin'
37.3465 	EXP 	grating: autoDraw = False
37.5312 	EXP 	window1: recordFrameIntervals = False
37.5332 	DATA 	Keypress: right
37.5464 	EXP 	fixation: autoDraw = False
37.5464 	EXP 	grating: autoDraw = False
37.5465 	EXP 	window1: recordFrameIntervals = False
38.5241 	EXP 	fixation: autoDraw = True
39.5294 	EXP 	fixation: autoDraw = False
39.5294 	EXP 	grating: autoDraw = True
39.5294 	EXP 	grating: tex = 'sin'
