trials.label,trials.startVal,trials.stepSizes,trials.maxVal,trials.minVal,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.stepType,trials.intensity,ISI.started,grating.started,key_resp.started,grating.stopped,trials.response,key_resp.corr,participant,session,date,expName,psychopyVersion,frameRate,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,20,19,down,0.01,db,0.04891814773922974,0.0005882080004084855,56.380119874998854,56.380119874998854,56.679211167000176,1,1,245961,001,2022-09-08_20h05.55.594,exp.1,2022.2.4,59.98864726894722,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,21,20,down,0.01,db,0.0488618610477905,0.0006034159996488597,58.79671445799977,58.79671445799977,59.09589529199911,1,1,245961,001,2022-09-08_20h05.55.594,exp.1,2022.2.4,59.98864726894722,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,22,21,down,0.01,db,0.048805639121510605,0.0005883750000066357,61.7042442919992,61.7042442919992,62.01258370799951,1,1,245961,001,2022-09-08_20h05.55.594,exp.1,2022.2.4,59.98864726894722,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,23,22,down,0.01,db,0.04874948188586931,0.0007994589996087598,64.0957631250003,64.0957631250003,64.39644741699885,1,1,245961,001,2022-09-08_20h05.55.594,exp.1,2022.2.4,59.98864726894722,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,24,23,down,0.01,db,0.04869338926643163,0.000590916000874131,66.47948187499969,66.47948187499969,66.77906933299892,1,1,245961,001,2022-09-08_20h05.55.594,exp.1,2022.2.4,59.98864726894722,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,25,24,down,0.01,db,0.04863736118884821,0.0007489580002584262,68.81296408299931,68.81296408299931,69.1125533329996,1,1,245961,001,2022-09-08_20h05.55.594,exp.1,2022.2.4,59.98864726894722,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,26,25,down,0.01,db,0.04858139757885526,0.0007568749988422496,77.5636346249994,77.5636346249994,77.8794228329989,1,1,245961,001,2022-09-08_20h05.55.594,exp.1,2022.2.4,59.98864726894722,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,27,26,down,0.01,db,0.04852549836227443,0.0006057499995222315,80.27934520799863,80.27934520799863,80.57925533299931,0,0,245961,001,2022-09-08_20h05.55.594,exp.1,2022.2.4,59.98864726894722,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,28,27,up,0.01,db,0.04858139757885526,0.000623040999926161,82.96285766700021,82.96285766700021,83.26355549999971,1,1,245961,001,2022-09-08_20h05.55.594,exp.1,2022.2.4,59.98864726894722,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,29,28,up,0.01,db,0.04858139757885526,0.0006610839991481043,85.3959439579994,85.3959439579994,85.6960984999987,1,1,245961,001,2022-09-08_20h05.55.594,exp.1,2022.2.4,59.98864726894722,
